propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,typology,subtitle,title
"85685611","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/04/c7/50/693641721.jpg","R007","37","4","200000","flat","sale","91","true","3","1","Calle Hermanos Machado","Almería","Almería","Altamira - Oliveros - Barrio Alto","es","36.8370758","-2.4595644","false","https://www.idealista.com/inmueble/85685611/","299","true","good","false","true","2198","false","false","true","flat","Altamira - Oliveros - Barrio Alto, Almería","Piso en Calle Hermanos Machado"
"85511301","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d1/2f/94/693686470.jpg","p_001029","28","1","192000","flat","sale","122","true","3","2","Carrera de los Picos, 30","Almería","Almería","Altamira - Oliveros - Barrio Alto","es","36.83678","-2.4581031","true","https://www.idealista.com/inmueble/85511301/","433","false","good","false","true","1574","false","false","true","flat","Altamira - Oliveros - Barrio Alto, Almería","Piso en Carrera de los Picos, 30"
"85082831","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7e/84/e6/672073516.jpg","2019/35","21","10","255000","penthouse","sale","150","true","4","2","Calle Padre Santaella, 6","Almería","Almería","Centro","es","36.8380421","-2.4619792","true","https://www.idealista.com/inmueble/85082831/","79","true","good","false","true","1700","true","false","false","flat","Centro, Almería","Ático en Calle Padre Santaella, 6"
"83841128","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9e/46/e9/626845802.jpg","100831","40","2","198000","flat","sale","138","true","4","2","Centro-Rambla","Almería","Almería","Centro-Rambla","es","36.8401793","-2.4631621","false","https://www.idealista.com/inmueble/83841128/","268","false","renew","false","true","1435","true","false","false","flat","Centro-Rambla, Almería","Piso"
"86358271","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2f/a0/d8/690875337.jpg","2019/108","38","1","136000","flat","sale","99","true","4","2","Calle Trajano, 19","Almería","Almería","Centro","es","36.8380572","-2.4651465","true","https://www.idealista.com/inmueble/86358271/","210","true","good","false","true","1374","true","false","false","flat","Centro, Almería","Piso en Calle Trajano, 19"
"86283660","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/23/99/c5/688358437.jpg","115394","31","null","199000","flat","sale","112","true","3","2","Calle González Garbín, 7","Almería","Almería","Centro-Rambla","es","36.841628","-2.4622308","true","https://www.idealista.com/inmueble/86283660/","431","true","good","false","true","1777","false","false","false","flat","Centro-Rambla, Almería","Piso en Calle González Garbín, 7"
"86224894","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6f/ed/fe/686888617.jpg","58527","28","4","75500","flat","sale","100","true","3","1","Calle Eduardo Pérez, 9","Almería","Almería","Centro","es","36.8381876","-2.466106","true","https://www.idealista.com/inmueble/86224894/","296","true","good","false","true","755","false","false","false","flat","Centro, Almería","Piso en Calle Eduardo Pérez, 9"
"85379921","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f5/36/50/670385478.jpg","KC00633","20","2","205000","flat","sale","116","true","3","2","Calle San Leonardo, 39","Almería","Almería","Centro-Rambla","es","36.8422706","-2.4596805","true","https://www.idealista.com/inmueble/85379921/","571","false","null","false","true","1767","true","false","false","flat","Centro-Rambla, Almería","Piso en Calle San Leonardo, 39"
"85379918","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9d/7a/8b/672725374.jpg","KC00632","36","3","235000","duplex","sale","110","true","2","3","Calle San Leonardo, 39","Almería","Almería","Centro-Rambla","es","36.8422706","-2.4596805","true","https://www.idealista.com/inmueble/85379918/","571","false","null","false","true","2136","true","false","false","flat","Centro-Rambla, Almería","Dúplex en Calle San Leonardo, 39"
"86404391","https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a6/67/9a/692314170.jpg","KC00662","49","bj","450000","chalet","sale","236","false","5","2","Calle Reyes Católicos","Almería","Almería","Centro","es","36.8401107","-2.4640645","false","https://www.idealista.com/inmueble/86404391/","282","false","good","false","null","1907","false","false","false","chalet","Centro, Almería","Chalet en Calle Reyes Católicos"
